Date,CPIAUCSL_PC1,CPIAUCSL_PC1_1,CPIAUCSL_PC1_2,FEDFUNDS,FEDFUNDS_1,FEDFUNDS_2,INDPRO,INDPRO_1,INDPRO_2,PAYNSA_PC1,PAYNSA_PC1_1,PAYNSA_PC1_2
1994-10-01,-0.13,0.03,0.07,0.01,0.06,0.05,0.01,0.0,0.01,-0.03,0.03,0.03
1995-01-01,0.12,0.0,0.0,0.01,0.03,0.11,0.0,0.01,0.01,0.0,-0.03,0.06
1995-04-01,0.11,-0.03,0.0,0.01,0.01,0.07,-0.0,0.0,-0.0,-0.09,-0.06,0.03
1995-07-01,-0.07,-0.03,0.0,-0.03,-0.0,-0.01,-0.0,0.0,0.0,-0.11,0.0,-0.1
1995-10-01,0.08,-0.04,-0.07,-0.01,0.01,-0.02,-0.0,0.0,0.01,0.0,-0.08,0.0
1996-01-01,0.12,-0.04,-0.04,-0.01,-0.03,0.01,-0.01,0.0,0.0,-0.17,-0.05,-0.14
1996-04-01,0.0,0.04,-0.04,-0.02,0.02,-0.06,0.01,-0.0,0.02,0.0,0.0,0.2
1996-07-01,0.04,0.0,0.0,0.02,0.01,0.0,-0.0,0.01,0.01,0.1,0.0,0.17
1996-10-01,0.03,0.07,-0.03,-0.01,0.02,-0.03,-0.0,0.01,0.01,0.05,-0.09,0.0
1997-01-01,-0.12,0.03,0.06,-0.01,-0.0,0.01,0.0,0.01,0.01,0.08,0.0,0.09
1997-04-01,-0.14,-0.07,0.0,0.02,0.04,-0.01,0.0,0.01,0.01,0.04,0.0,-0.04
1997-07-01,0.0,0.0,-0.08,-0.01,0.01,-0.0,0.01,0.0,0.01,0.04,-0.04,0.0
1997-10-01,-0.05,-0.04,0.05,-0.01,0.0,0.0,0.01,0.01,0.01,0.04,0.08,-0.08
1998-01-01,-0.06,-0.11,-0.1,0.01,-0.0,0.0,0.01,0.0,0.01,0.04,0.04,0.0
1998-04-01,0.0,0.0,-0.13,-0.01,-0.0,-0.01,0.0,0.0,0.0,0.04,-0.07,-0.03
1998-07-01,0.06,-0.06,0.21,-0.0,0.01,0.01,-0.0,-0.01,0.01,0.0,0.0,-0.04
1998-10-01,0.07,-0.13,-0.06,-0.08,-0.01,0.0,0.01,-0.0,0.02,-0.04,-0.07,0.04
